Rentrée scolaire;Code région académique;Code région Insee;Région académique;Code académie;Académie;Code département;Département;Code Postal;Commune;Numéro de l'école;Dénomination principale;Patronyme;Secteur;REP;REP +;Nombre total de classes;Nombre total d'élèves;Nombre d'élèves en pré-élémentaire hors ULIS;Nombre d'élèves en élémentaire hors ULIS;Nombre d'élèves en ULIS;Nombre d'élèves en UEEA;Nombre d'élèves en CP hors ULIS;Nombre d'élèves en CE1 hors ULIS;Nombre d'élèves en CE2 hors ULIS;Nombre d'élèves en CM1 hors ULIS;Nombre d'élèves en CM2 hors ULIS;num_ligne
2014;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921771A;ECOLE MATERNELLE PUBLIQUE;CASTEJA;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;5.0;112.0;112.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;295354
2014;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0922666Y;ECOLE PRIMAIRE PUBLIQUE;ROBERT DOISNEAU;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;18.0;457.0;176.0;281.0;0.0;0;79.0;52.0;61.0;53.0;36.0;295363
2014;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921795B;ECOLE MATERNELLE PUBLIQUE;GALLIENI;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;6.0;153.0;153.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;295367
2014;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920521S;ECOLE MATERNELLE D APPLICATION;LAZARE HOCHE;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;10.0;260.0;260.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;295370
2010;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920551Z;ECOLE MATERNELLE PUBLIQUE;SEINE;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;7.0;182.0;182.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;85200
2010;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920464E;ECOLE MATERNELLE PUBLIQUE;GABRIEL ET CHARLES VOISIN;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;9.0;229.0;229.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;85209
2010;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920553B;ECOLE MATERNELLE PUBLIQUE;POINT DU JOUR;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;10.0;265.0;265.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;85222
2010;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921771A;ECOLE MATERNELLE PUBLIQUE;CASTEJA;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;6.0;131.0;131.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;85229
2018;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920464E;ECOLE MATERNELLE PUBLIQUE;GABRIEL ET CHARLES VOISIN;SECTEUR PUBLIC;0;0;9.0;233.0;233.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;497775
2018;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920521S;ECOLE MATERNELLE D APPLICATION;LAZARE HOCHE;SECTEUR PUBLIC;0;0;9.0;237.0;237.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;497776
2018;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921899P;ECOLE PRIMAIRE PRIVEE;RAMBAM;SECTEUR PRIVE;0;0;23.0;664.0;235.0;429.0;0.0;0;81.0;86.0;81.0;89.0;92.0;497779
2018;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920492K;ECOLE MATERNELLE PUBLIQUE;FESSART;SECTEUR PUBLIC;0;0;9.0;237.0;237.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;497780
2018;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921063F;ECOLE PRIMAIRE PRIVEE;SAINT ALEXANDRE;SECTEUR PRIVE;0;0;14.0;445.0;130.0;315.0;0.0;0;59.0;64.0;64.0;64.0;64.0;497788
